 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 06, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Helium (gas).txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  9.3100E-05 g/cm3 = 1.4006E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   4.50 MeV   9.044E-02  1.247E-04   73.67 mm     2.12 mm     2.16 mm  
   5.00 MeV   9.015E-02  1.139E-04   79.20 mm     2.26 mm     2.19 mm  
   5.50 MeV   8.965E-02  1.050E-04   84.75 mm     2.40 mm     2.21 mm  
   6.00 MeV   8.898E-02  9.738E-05   90.34 mm     2.53 mm     2.24 mm  
   6.50 MeV   8.819E-02  9.087E-05   95.98 mm     2.66 mm     2.26 mm  
   7.00 MeV   8.731E-02  8.523E-05  101.67 mm     2.78 mm     2.29 mm  
   8.00 MeV   8.537E-02  7.591E-05  113.24 mm     3.23 mm     2.33 mm  
   9.00 MeV   8.328E-02  6.852E-05  125.09 mm     3.64 mm     2.38 mm  
  10.00 MeV   8.113E-02  6.250E-05  137.25 mm     4.03 mm     2.42 mm  
  11.00 MeV   7.895E-02  5.751E-05  149.73 mm     4.41 mm     2.47 mm  
  12.00 MeV   7.679E-02  5.330E-05  162.57 mm     4.77 mm     2.51 mm  
  13.00 MeV   7.466E-02  4.969E-05  175.77 mm     5.13 mm     2.56 mm  
  14.00 MeV   7.259E-02  4.656E-05  189.34 mm     5.48 mm     2.61 mm  
  15.00 MeV   7.058E-02  4.382E-05  203.31 mm     5.83 mm     2.65 mm  
  16.00 MeV   6.863E-02  4.140E-05  217.67 mm     6.18 mm     2.70 mm  
  17.00 MeV   6.675E-02  3.925E-05  232.44 mm     6.52 mm     2.75 mm  
  18.00 MeV   6.495E-02  3.732E-05  247.62 mm     6.87 mm     2.80 mm  
  20.00 MeV   6.155E-02  3.401E-05  279.24 mm     8.21 mm     2.91 mm  
  22.50 MeV   5.768E-02  3.065E-05  321.19 mm    10.13 mm     3.05 mm  
  25.00 MeV   5.446E-02  2.792E-05  365.79 mm    11.95 mm     3.20 mm  
  27.50 MeV   5.151E-02  2.565E-05  412.98 mm    13.69 mm     3.37 mm  
  30.00 MeV   4.858E-02  2.375E-05  462.95 mm    15.42 mm     3.54 mm  
  32.50 MeV   4.610E-02  2.212E-05  515.77 mm    17.14 mm     3.73 mm  
  35.00 MeV   4.385E-02  2.070E-05  571.37 mm    18.86 mm     3.92 mm  
  37.50 MeV   4.180E-02  1.947E-05  629.75 mm    20.60 mm     4.14 mm  
